sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
F89_1	11	100	1.10E+05	0.004882813	0.001464844	-2
F89_2	11	100	1.10E+05	0.009765625	0.014648438	-2
F89_3	11	100	1.10E+05	0.01953125	0.029296875	-2
F89_4	11	100	1.10E+05	0.0390625	0.05859375	-2
F89_5	11	100	1.10E+05	0.078125	0.1171875	-2
F89_6	11	100	1.10E+05	0.15625	0.234375	-2
F89_7	11	100	1.10E+05	0.3125	0.46875	-2
F89_8	11	100	1.10E+05	0.625	0.9375	-2
F89_9	11	100	1.10E+05	1.25	1.875	-2
F89_10	11	100	1.10E+05	2.5	3.75	-2
F89_11	11	100	1.10E+05	5	7.5	-2
F89_12	11	100	1.10E+05	10	15	-2
F89_1	6	1000	6.00E+05	0.004882813	0.001464844	0
F89_2	4	1000	4.00E+05	0.009765625	0.014648438	0
F89_3	4	1000	4.00E+05	0.01953125	0.029296875	0
F89_4	5	1000	5.00E+05	0.0390625	0.05859375	0
F89_5	6	1000	6.00E+05	0.078125	0.1171875	0
F89_6	6	1000	6.00E+05	0.15625	0.234375	0
F89_7	4	1000	4.00E+05	0.3125	0.46875	0
F89_8	4	1000	4.00E+05	0.625	0.9375	0
F89_9	5	1000	5.00E+05	1.25	1.875	0
F89_10	6	1000	6.00E+05	2.5	3.75	0
F89_11	5	1000	5.00E+05	5	7.5	0
F89_12	3	1000	3.00E+05	10	15	0
F89_1	8	1000	8.00E+05	0.004882813	0.001464844	1
F89_2	8	1000	8.00E+05	0.009765625	0.014648438	1
F89_3	5	1000	5.00E+05	0.01953125	0.029296875	1
F89_4	6	1000	6.00E+05	0.0390625	0.05859375	1
F89_5	4	1000	4.00E+05	0.078125	0.1171875	1
F89_6	4	1000	4.00E+05	0.15625	0.234375	1
F89_7	7	1000	7.00E+05	0.3125	0.46875	1
F89_8	15	100	1.50E+05	0.625	0.9375	1
F89_9	13	100	1.30E+05	1.25	1.875	1
F89_10	33	10	3.30E+04	2.5	3.75	1
F89_11	16	10	1.60E+04	5	7.5	1
F89_12	15	10	1.50E+04	10	15	1
F89_1	15	1000	1.50E+06	0.004882813	0.001464844	2
F89_2	16	1000	1.60E+06	0.009765625	0.014648438	2
F89_3	9	1000	9.00E+05	0.01953125	0.029296875	2
F89_4	6	1000	6.00E+05	0.0390625	0.05859375	2
F89_5	6	1000	6.00E+05	0.078125	0.1171875	2
F89_6	9	1000	9.00E+05	0.15625	0.234375	2
F89_7	2	1000	2.00E+05	0.3125	0.46875	2
F89_8	27	10	2.70E+04	0.625	0.9375	2
F89_9	30	10	3.00E+04	1.25	1.875	2
F89_10	17	10	1.70E+04	2.5	3.75	2
F89_11	4	10	4.00E+03	5	7.5	2
F89_12	5	10	5.00E+03	10	15	2
F89_1	17	1000	1.70E+06	0.004882813	0.001464844	3
F89_2	14	1000	1.40E+06	0.009765625	0.014648438	3
F89_3	12	1000	1.20E+06	0.01953125	0.029296875	3
F89_4	12	1000	1.20E+06	0.0390625	0.05859375	3
F89_5	13	1000	1.30E+06	0.078125	0.1171875	3
F89_6	10	1000	1.00E+06	0.15625	0.234375	3
F89_7	9	100	9.00E+04	0.3125	0.46875	3
F89_8	8	10	8.00E+03	0.625	0.9375	3
F89_9	5	10	5.00E+03	1.25	1.875	3
F89_10	4	10	4.00E+03	2.5	3.75	3
F89_11	4	1	4.00E+02	5	7.5	3
F89_12	1	1	1.00E+02	10	15	3
F89_1	30	1000	3.00E+06	0.004882813	0.001464844	4
F89_2	25	1000	2.50E+06	0.009765625	0.014648438	4
F89_3	21	1000	2.10E+06	0.01953125	0.029296875	4
F89_4	21	1000	2.10E+06	0.0390625	0.05859375	4
F89_5	18	1000	1.80E+06	0.078125	0.1171875	4
F89_6	9	1000	9.00E+05	0.15625	0.234375	4
F89_7	9	100	9.00E+04	0.3125	0.46875	4
F89_8	15	1	1.50E+03	0.625	0.9375	4
F89_9	0	1	0.00E+00	1.25	1.875	4
F89_10	0	1	0.00E+00	2.5	3.75	4
F89_11	0	1	0.00E+00	5	7.5	4
F89_12	0	1	0.00E+00	10	15	4
F89_1	15	10000	1.50E+07	0.004882813	0.001464844	5
F89_2	11	10000	1.10E+07	0.009765625	0.014648438	5
F89_3	13	10000	1.30E+07	0.01953125	0.029296875	5
F89_4	12	10000	1.20E+07	0.0390625	0.05859375	5
F89_5	13	10000	1.30E+07	0.078125	0.1171875	5
F89_6	6	10000	6.00E+06	0.15625	0.234375	5
F89_7	4	100	4.00E+04	0.3125	0.46875	5
F89_8	11	10	1.10E+04	0.625	0.9375	5
F89_9	0	1	0.00E+00	1.25	1.875	5
F89_10	0	1	0.00E+00	2.5	3.75	5
F89_11	0	1	0.00E+00	5	7.5	5
F89_12	0	1	0.00E+00	10	15	5
F89_1	11	10000	1.10E+07	0.004882813	0.001464844	6
F89_2	10	10000	1.00E+07	0.009765625	0.014648438	6
F89_3	11	10000	1.10E+07	0.01953125	0.029296875	6
F89_4	10	10000	1.00E+07	0.0390625	0.05859375	6
F89_5	10	10000	1.00E+07	0.078125	0.1171875	6
F89_6	22	1000	2.20E+06	0.15625	0.234375	6
F89_7	10	10	1.00E+04	0.3125	0.46875	6
F89_8	3	10	3.00E+03	0.625	0.9375	6
F89_9	0	1	0.00E+00	1.25	1.875	6
F89_10	0	1	0.00E+00	2.5	3.75	6
F89_11	0	1	0.00E+00	5	7.5	6
F89_12	0	1	0.00E+00	10	15	6
